|,|__appid,|__name,|__developer,|__publisher,|__score_rank,|__positive,|__negative,|__userscore,|__owners,|__average_forever,|__average_2weeks,|__median_forever,|__median_2weeks,|__price,|__initialprice,|__discount,,
248630,248630,Kingdoms Rise,Flyleap Studios Pty. Ltd.,Flyleap Studios Pty. Ltd.,,493,587,0,"50,000 .. 100,000",152,0,60,0,1499,1499,0,,
316930,316930,Kings of Kung Fu,Jae Lee Productions,Digital Tribe,,371,208,0,"20,000 .. 50,000",149,0,102,0,999,999,0,,
235400,235400,King’s Bounty: Legions,Nival,Nival,,619,578,0,"200,000 .. 500,000",433,0,19,0,0,0,0,,
328650,328650,Knight of the Hamsters,Johnny Death Games,Red Fly Studio,,9,5,0,"0 .. 20,000",367,0,505,0,99,99,0,,
298400,298400,Knightmare Tower,Juicy Beast Studio,Juicy Beast Studio,,389,28,0,"0 .. 20,000",241,0,240,0,399,399,0,,
253900,253900,Knights and Merchants,Topware Interactive,Topware Interactive,,2331,509,0,"500,000 .. 1,000,000",236,224,242,262,699,699,0,,
25830,25830,Knights of Honor,Black Sea Studios Ltd,Paradox Interactive,,1003,88,0,"100,000 .. 200,000",459,0,97,0,999,999,0,,
unknow,unknow,Knights of Pen and Paper +1,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
310060,310060,Knights of Pen and Paper 2,Kyy Games,Paradox Interactive,,901,152,0,"100,000 .. 200,000",541,2868,293,2868,799,799,0,,
254060,254060,KnightShift,Reality Pump,Topware Interactive,,471,318,0,"1,000,000 .. 2,000,000",261,218,274,259,699,699,0,,
250380,250380,Knock-knock,Ice-Pick Lodge,Ice-Pick Lodge,,941,132,0,"50,000 .. 100,000",166,43,112,43,999,999,0,,
248190,248190,Knytt Underground,Nifflas' Games,Ripstone,,276,41,0,"50,000 .. 100,000",172,0,125,0,699,699,0,,
97130,97130,Kohan II: Kings of War,TimeGate Studios,TimeGate Studios,,90,8,0,"20,000 .. 50,000",374,0,610,0,999,999,0,,
97110,97110,Kohan: Immortal Sovereigns,TimeGate Studios,TimeGate Studios,,35,7,0,"0 .. 20,000",301,0,333,0,999,999,0,,
375030,375030,Korwin The Game,Zbigniew Ochman,Wolfiesoft,,173,39,0,"0 .. 20,000",157,0,159,0,199,199,0,,
328990,328990,Koya Rift,Zach Kehs (SunnyKatt),Zach Kehs (SunnyKatt),,13,26,0,"0 .. 20,000",15,0,15,0,299,299,0,,
42170,42170,Krater,Fatshark,Fatshark,,428,329,0,"100,000 .. 200,000",273,0,171,0,1499,1499,0,,
296630,296630,Kraven Manor,Demon Wagon Studios,Demon Wagon Studios,,311,118,0,"100,000 .. 200,000",181,0,18,0,599,599,0,,
285980,285980,Kromaia,Kraken Empire,Rising Star Games,,79,21,0,"20,000 .. 50,000",192,0,208,0,1999,1999,0,,
329790,329790,Krosmaster Arena,Ankama Studio,Ankama Games,,185,109,0,"100,000 .. 200,000",133,0,43,0,0,0,0,,
270330,270330,Ku: Shroud of the Morrigan,bitSmith Games,bitSmith Games,,24,60,0,"20,000 .. 50,000",241,0,136,0,499,499,0,,
212030,212030,Kung Fu Strike - The Warrior's Rise,Qooc Software,X.D. Network Inc.,,804,209,0,"100,000 .. 200,000",214,0,51,0,999,999,0,,
unknow,unknow,Kung Fury,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
373180,373180,Kung Fury: Street Rage,Hello There AB,Hello There AB,,1992,211,0,"100,000 .. 200,000",119,1,76,1,299,299,0,,
36240,36240,Kuros,Sandlot Games,Sandlot Games,,7,0,0,"0 .. 20,000",0,0,0,0,699,699,0,,
unknow,unknow,KWAAN,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
314560,314560,Kyn,Tangrin Entertainment,Versus Evil,,73,42,0,"0 .. 20,000",69,0,65,0,1999,1999,0,,
110800,110800,L.A. Noire,"Team Bondi, Rockstar Leeds",Rockstar Games,,14023,2300,0,"1,000,000 .. 2,000,000",993,122,326,123,1999,1999,0,,
278810,278810,LA Cops,Modern Dream,Team17 Digital Ltd,,81,65,0,"20,000 .. 50,000",36,0,35,0,1499,1499,0,,
unknow,unknow,La Tale,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
230700,230700,La-Mulana,NIGORO,AGM PLAYISM,,1447,330,0,"200,000 .. 500,000",436,0,152,0,1499,1499,0,,
278570,278570,Labyrinthine Dreams,Solest Games,Degica,,227,57,0,"50,000 .. 100,000",163,0,181,0,199,199,0,,
391260,391260,Labyronia RPG,Labyrinthine,Epic Quest Games,,772,289,0,"200,000 .. 500,000",826,0,206,0,199,199,0,,
397500,397500,Labyronia RPG 2,Labyrinthine,Epic Quest Games,,391,130,0,"200,000 .. 500,000",983,0,211,0,199,199,0,,
361990,361990,Lakeview Cabin Collection,Roope Tamminen,Roope Tamminen,,888,84,0,"100,000 .. 200,000",145,80,141,80,999,999,0,,
unknow,unknow,Lambda Wars Beta,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
385260,385260,Lamia Must Die,Tuomo Laine,Tuomo Laine,,119,69,0,"50,000 .. 100,000",8,0,13,0,0,0,0,,
unknow,unknow,Landmark,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
35130,35130,Lara Croft and the Guardian of Light,Crystal Dynamics,Square Enix,,2487,235,0,"500,000 .. 1,000,000",269,237,122,353,999,999,0,,
289690,289690,LARA CROFT AND THE TEMPLE OF OSIRIS,Crystal Dynamics,Square Enix,,689,531,0,"200,000 .. 500,000",251,255,170,255,1999,1999,0,,
11340,11340,Larva Mortus,Meridian4,Meridian4,,522,158,0,"100,000 .. 200,000",141,0,28,0,499,499,0,,
266230,266230,Last Dream,White Giant RPG Studios,White Giant RPG Studios,,366,67,0,"20,000 .. 50,000",398,0,179,0,299,999,70,,
331980,331980,Last Inua,Glowforth,"Wired Productions, THQ Nordic",,97,79,0,"20,000 .. 50,000",175,0,151,0,799,799,0,,
262210,262210,Last Knight: Rogue Rider Edition,Toco Games,Toco Games,,164,36,0,"20,000 .. 50,000",221,0,138,0,799,799,0,,
355530,355530,Last Word,Twelve Tiles,Degica,,262,49,0,"50,000 .. 100,000",228,0,240,0,999,999,0,,
391720,391720,Layers of Fear,Bloober Team SA,Aspyr,,14363,1662,0,"2,000,000 .. 5,000,000",232,376,232,64,1999,1999,0,,
42120,42120,Lead and Gold: Gangs of the Wild West,Fatshark,Fatshark,,1464,545,0,"500,000 .. 1,000,000",206,80,45,80,999,999,0,,
355500,355500,Leadwerks Game Launcher,Leadwerks Software,Leadwerks Software,,30,12,0,"50,000 .. 100,000",10,0,1,0,0,0,0,,
500,500,Left 4 Dead,Valve,Valve,,17791,936,0,"5,000,000 .. 10,000,000",1930,239,181,73,999,999,0,,
550,550,Left 4 Dead 2,Valve,Valve,,250029,8290,0,"10,000,000 .. 20,000,000",2412,325,520,67,999,999,0,,
284890,284890,Left in the Dark: No One on Board,Moonrise Interactive,Artifex Mundi,,368,69,0,"50,000 .. 100,000",197,0,197,0,999,999,0,,
224300,224300,Legacy of Kain: Defiance,Crystal Dynamics,Square Enix,,422,58,0,"200,000 .. 500,000",262,1,53,1,699,699,0,,
224920,224920,Legacy of Kain: Soul Reaver,Crystal Dynamics,Square Enix,,795,295,0,"200,000 .. 500,000",105,2,15,3,699,699,0,,
224940,224940,Legacy of Kain: Soul Reaver 2,Crystal Dynamics,Square Enix,,285,103,0,"200,000 .. 500,000",102,0,18,0,699,699,0,,
238280,238280,Legend of Dungeon,Robot Loves Kitty,,,1075,388,0,"200,000 .. 500,000",195,16,114,16,999,999,0,,
405980,405980,Legend of Dungeon: Masters,Robot Loves Kitty,Robot Loves Kitty,,117,79,0,"100,000 .. 200,000",45,4,6,4,0,0,0,,
109200,109200,Legend of Fae,Endlessfluff Games,Endlessfluff Games,,77,22,0,"0 .. 20,000",181,0,263,0,999,999,0,,
207170,207170,Legend of Grimrock,Almost Human Games,Almost Human Games,,4410,264,0,"500,000 .. 1,000,000",508,265,171,499,1499,1499,0,,
251730,251730,Legend of Grimrock 2,Almost Human Games,Almost Human Games,,2063,214,0,"200,000 .. 500,000",608,102,253,160,2399,2399,0,,
unknow,unknow,Legend of Mysteria,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
16730,16730,Legendary,Spark Unlimited,SouthPeak Games,,1092,1002,0,"200,000 .. 500,000",93,98,46,98,199,199,0,,
248410,248410,Legends of Aethereus,Three Gates,Three Gates,,80,201,0,"20,000 .. 50,000",307,0,78,0,0,0,0,,
246760,246760,Legends of Eisenwald,Aterdux Entertainment,Aterdux Entertainment,,1010,295,0,"100,000 .. 200,000",309,0,198,0,1999,1999,0,,
unknow,unknow,Legends of Pegasus,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
301220,301220,Legends of Persia,Sourena Game Studio,Plug in Digital,,22,136,0,"50,000 .. 100,000",12,0,8,0,1999,1999,0,,
310970,310970,Legions of Ashworld,Jugilus,Wastelands Interactive,,20,8,0,"0 .. 20,000",97,0,97,0,499,499,0,,
unknow,unknow,LEGO Batman 2,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,LEGO Batman The Videogame,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
313690,313690,LEGO Batman3: Beyond Gotham,"TT Games Ltd, Feral Interactive (Mac)","WB Games, Feral Interactive (Mac)",,2252,368,0,"200,000 .. 500,000",865,47,478,61,1999,1999,0,,
unknow,unknow,Lego Harry Potter,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
204120,204120,LEGO Harry Potter: Years 5-7,Traveller's Tales,Warner Bros. Interactive Entertainment,,615,99,0,"200,000 .. 500,000",486,71,213,85,1999,1999,0,,
32330,32330,LEGO Indiana Jones: The Original Adventures,Traveller's Tales,"LucasArts, Lucasfilm, Disney Interactive",,298,86,0,"50,000 .. 100,000",488,0,402,0,1999,1999,0,,
352400,352400,LEGO Jurassic World,"TT Games Ltd, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",,2531,428,0,"200,000 .. 500,000",1045,396,372,559,1999,1999,0,,
249130,249130,LEGO Marvel Super Heroes,Traveller's Tales,"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",,8751,683,0,"500,000 .. 1,000,000",1559,268,580,273,1999,1999,0,,
311770,311770,LEGO Pirates of the Caribbean: The Video Game,Traveller's Tales,Disney Interactive,,423,98,0,"50,000 .. 100,000",495,198,272,237,1999,1999,0,,
unknow,unknow,Lego Star Wars 3 The Clone Wars,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Lego Star Wars Saga,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
285160,285160,LEGO The Hobbit,"Traveller's Tales, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",,3001,968,0,"500,000 .. 1,000,000",402,443,74,64,0,0,0,,
214510,214510,LEGO The Lord of the Rings,Traveller's Tales,Warner Bros. Interactive Entertainment,,4052,556,0,"500,000 .. 1,000,000",424,343,98,62,0,0,0,,
332310,332310,LEGO Worlds,"TT Games, Traveller's Tales",Warner Bros. Interactive Entertainment,,9021,2715,0,"500,000 .. 1,000,000",763,79,275,68,2999,2999,0,,
unknow,unknow,Leo's Fortune,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
369400,369400,Let the Cat in,Eforb,Eforb,,801,225,0,"200,000 .. 500,000",62,0,10,0,0,0,0,,
261180,261180,Lethal League,Team Reptile,Team Reptile,,5190,344,0,"500,000 .. 1,000,000",462,38,188,43,1399,1399,0,,
359230,359230,Lethis - Path of Progress,Triskell Interactive,Triskell Interactive,,572,249,0,"20,000 .. 50,000",393,21,305,21,1999,1999,0,,
328730,328730,Letter Quest: Grimm's Journey,Bacon Bandit Games,Digerati Distribution,,310,20,0,"50,000 .. 100,000",283,0,206,0,0,0,0,,
373970,373970,Letter Quest: Grimm's Journey Remastered,Bacon Bandit Games,Digerati Distribution,,266,24,0,"50,000 .. 100,000",300,0,266,0,799,799,0,,
unknow,unknow,LEVEL 22,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Leviathan Warships,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
328270,328270,Leviathan: The Last Day of the Decade,Lostwood,Lostwood,,462,103,0,"50,000 .. 100,000",230,0,208,0,1499,1499,0,,
306680,306680,Lexica,d3t,Merge Games,,234,74,0,"100,000 .. 200,000",302,0,70,0,499,499,0,,
261760,261760,Lichdom: Battlemage,Xaviant,Xaviant Games,,1399,1024,0,"200,000 .. 500,000",322,0,257,0,999,999,0,,
290080,290080,Life is Feudal: Your Own,Bitbox Ltd.,Bitbox Ltd.,,6157,3381,0,"200,000 .. 500,000",3819,996,547,1090,1999,1999,0,,
414080,414080,Life is Hard,"Pirozhok Studio, Vitaliy Ruzankin",Pirozhok Studio,,338,132,0,"50,000 .. 100,000",282,0,320,0,899,899,0,,
unknow,unknow,Life Is Strange,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Life of Pixel,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Lifeless Planet,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
271730,271730,Light,Just A Pixel Ltd.,Team17 Digital Ltd,,193,138,0,"50,000 .. 100,000",217,0,155,0,1299,1299,0,,
821260,821260,LIGHT,Indie Light,Indie Light,,5,1,0,"0 .. 20,000",3,0,3,0,99,99,0,,
34500,34500,Light of Altair,SaintXi,SaintXi,,31,7,0,"20,000 .. 50,000",44,0,56,0,1499,1499,0,,
116120,116120,Lightfish,Eclipse Games,Team17 Digital Ltd,,117,27,0,"50,000 .. 100,000",84,0,43,0,499,499,0,,
345350,345350,LIGHTNING RETURNS: FINAL FANTASY XIII,Square Enix,Square Enix,,2118,523,0,"200,000 .. 500,000",1371,1,219,1,1999,1999,0,,
unknow,unknow,Lili Child of Geos,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
364270,364270,Lilly and Sasha: Curse of the Immortals,John Wizard,John Wizard,,313,71,0,"100,000 .. 200,000",225,0,184,0,0,0,0,,
383520,383520,Lilly and Sasha: Guardian Angels,John Wizard,John Wizard,,39,27,0,"50,000 .. 100,000",223,0,212,0,0,0,0,,
370040,370040,Lilly and Sasha: Nexus of Souls,John Wizard,John Wizard,,41,19,0,"20,000 .. 50,000",2201,0,214,0,0,0,0,,
250030,250030,Lilly Looking Through,Geeta Games,,,474,151,0,"100,000 .. 200,000",135,0,118,0,999,999,0,,
48000,48000,LIMBO,Playdead,Playdead,,30237,1984,0,"2,000,000 .. 5,000,000",164,574,91,128,999,999,0,,
unknow,unknow,Lineage II,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
335670,335670,LISA,Dingaling,"Dingaling Productions, LLC",,7379,342,0,"200,000 .. 500,000",498,125,233,33,999,999,0,,
269290,269290,liteCam Game: 100 FPS Game Capture,Rsupport Inc.,Rsupport Inc.,,282,266,0,"0 .. 20,000",750,0,962,0,1499,1499,0,,
283430,283430,Litil Divil,Gremlin Interactive,Funbox Media Ltd,,201,228,0,"100,000 .. 200,000",88,0,2,0,299,299,0,,
398000,398000,Little Big Adventure 2,DotEmu,DotEmu,,236,4,0,"20,000 .. 50,000",77,0,53,0,399,399,0,,
15960,15960,Little Farm,MumboJumbo,MumboJumbo,,72,35,0,"20,000 .. 50,000",307,0,379,0,999,999,0,,
221260,221260,Little Inferno,Tomorrow Corporation,Tomorrow Corporation,,6391,456,0,"500,000 .. 1,000,000",298,58,199,67,999,999,0,,
262690,262690,Little Racers STREET,Milkstone Studios,Milkstone Studios,,722,150,0,"100,000 .. 200,000",215,96,171,96,599,599,0,,
208090,208090,Loadout,Edge of Reality,Edge of Reality,,35361,5598,0,"5,000,000 .. 10,000,000",475,3314,120,4972,0,0,0,,
unknow,unknow,Loadout Campaign Beta,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
7260,7260,Loki,Cyanide Studios,Focus Home Interactive,,67,54,0,"20,000 .. 50,000",9592,11626,5136,11626,999,999,0,,
unknow,unknow,London 2012 The Official Video Game of the Olympic Games,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
209830,209830,Lone Survivor: The Director's Cut,Jasper Byrne,Superflat Games,,1018,153,0,"500,000 .. 1,000,000",74,245,21,245,1499,1499,0,,
251990,251990,Long Live The Queen,Hanako Games,Hanako Games,,5660,307,0,"200,000 .. 500,000",264,0,202,0,999,999,0,,
32340,32340,LOOM,LucasArts,"LucasArts, Lucasfilm, Disney Interactive",,304,41,0,"100,000 .. 200,000",340,0,63,0,599,599,0,,
404040,404040,Lords of Magic: Special Edition,Impressions Games,Rebellion,,126,13,0,"20,000 .. 50,000",180,0,324,0,499,499,0,,
246940,246940,Lords of the Black Sun,Arkavi Studios,Iceberg Interactive,,76,290,0,"20,000 .. 50,000",361,0,345,0,2999,2999,0,,
265300,265300,Lords Of The Fallen,"CI Games, Deck 13",CI Games,,7282,4864,0,"500,000 .. 1,000,000",440,42,204,50,449,2999,85,,
254920,254920,Lords of the Realm,Impressions Games,Rebellion,,28,6,0,"0 .. 20,000",21,0,23,0,199,199,0,,
397350,397350,Lords of the Realm II,Impressions Games,Rebellion,,383,19,0,"20,000 .. 50,000",1428,177,1270,226,299,299,0,,
254860,254860,Lords of the Realm III,Impressions Games,Rebellion,,7,12,0,"20,000 .. 50,000",1,0,1,0,499,499,0,,
40350,40350,Lost Horizon,Animation Arts,Deep Silver,,205,26,0,"50,000 .. 100,000",302,0,431,0,299,999,70,,
392950,392950,Lost Lands: A Hidden Object Adventure,FIVE-BN GAMES,FIVE-BN GAMES,,3770,426,0,"100,000 .. 200,000",491,0,21,0,0,0,0,,
45750,45750,Lost Planet 2,"CAPCOM CO., LTD.",Capcom,,991,499,0,"100,000 .. 200,000",542,111,193,111,1999,1999,0,,
226720,226720,LOST PLANET 3,Spark Unlimited,Capcom,,1589,993,0,"200,000 .. 500,000",360,18,197,18,2499,2499,0,,
6510,6510,Lost Planet: Extreme Condition,"CAPCOM Co., Ltd.",Capcom,,561,176,0,"200,000 .. 500,000",373,0,88,0,1499,1499,0,,
45720,45720,Lost Planet: Extreme Condition Colonies Edition,"CAPCOM CO., LTD.",Capcom,,133,93,0,"50,000 .. 100,000",840,76,128,76,1999,1999,0,,
unknow,unknow,Lost Saga North America,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
269270,269270,LOVE,Fred Wood,Fred Wood,,942,98,0,"50,000 .. 100,000",244,0,138,0,299,299,0,,
298600,298600,Lovely Planet,QUICKTEQUILA,tinyBuild,,2087,182,0,"200,000 .. 500,000",220,32,225,55,599,599,0,,
404150,404150,Lovely Weather We're Having,Julian Glander,Glanderco,,40,28,0,"0 .. 20,000",3,0,5,0,299,299,0,,
61100,61100,Lucid,YeaBoing,YeaBoing,,171,54,0,"50,000 .. 100,000",190,0,58,0,499,499,0,,
32410,32410,Lucidity,LucasArts,"LucasArts, Lucasfilm, Disney Interactive",,37,16,0,"20,000 .. 50,000",35,0,29,0,599,599,0,,
218640,218640,Lucius,Shiver Games,Shiver Games,,5757,1387,0,"500,000 .. 1,000,000",313,64,187,70,999,999,0,,
296830,296830,Lucius II,Shiver Games,Shiver Games,,787,541,0,"100,000 .. 200,000",256,0,187,0,1999,1999,0,,
263120,263120,Ludwig,ovos,ovos,,27,30,0,"0 .. 20,000",34,0,38,0,999,999,0,,
233150,233150,LUFTRAUSERS,Vlambeer,Devolver Digital,,3175,298,0,"200,000 .. 500,000",200,5,148,9,999,999,0,,
25010,25010,Lugaru HD,Wolfire Games,Wolfire Games,,319,99,0,"100,000 .. 200,000",48,0,15,0,999,999,0,,
403670,403670,Lumber Island - That Special Place,DeanForge,DeanForge,,73,22,0,"20,000 .. 50,000",11,0,12,0,499,499,0,,
105100,105100,Lume,State of Play Games,State of Play Games,,206,250,0,"50,000 .. 100,000",58,0,48,0,599,599,0,,
unknow,unknow,Lumines,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
205020,205020,Lumino City,State of Play Games,State of Play Games,,923,116,0,"200,000 .. 500,000",134,1,45,1,1299,1299,0,,
208600,208600,Lunar Flight,Shovsoft,Shovsoft,,465,92,0,"50,000 .. 100,000",166,0,89,0,1499,1499,0,,
375180,375180,Lunch Truck Tycoon,"Diggidy.net, LLC","Diggidy.net, LLC",,166,91,0,"20,000 .. 50,000",145,0,65,0,99,99,0,,
205830,205830,Luxor Evolved,MumboJumbo,MumboJumbo,,194,18,0,"50,000 .. 100,000",182,1,120,1,999,999,0,,
269150,269150,Luxuria Superbia,Tale of Tales,Tale of Tales,,168,62,0,"20,000 .. 50,000",24,0,21,0,699,699,0,,
266010,266010,LYNE,Thomas Bowker,Thomas Bowker,,6847,263,0,"200,000 .. 500,000",509,104,186,154,299,299,0,,
43500,43500,M.U.D. TV,Realmforge Studios,Kalypso Media Digital,,70,85,0,"20,000 .. 50,000",135,0,78,0,999,999,0,,
212200,212200,Mabinogi,NEXON Korea Corp.,Nexon America Inc.,,1831,683,0,"500,000 .. 1,000,000",5731,53,43,80,0,0,0,,
58230,58230,MacGuffin's Curse,Brawsome,Brawsome,,81,16,0,"20,000 .. 50,000",271,0,203,0,999,999,0,,
40700,40700,Machinarium,Amanita Design,Amanita Design,,5400,261,0,"500,000 .. 1,000,000",211,101,164,101,999,999,0,,
341000,341000,Mad Games Tycoon,Eggcode,Eggcode,,3194,360,0,"200,000 .. 500,000",1404,293,360,491,1499,1499,0,,
234140,234140,Mad Max,"Avalanche Studios, Feral Interactive (Mac), Feral Interactive (Linux)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)",,35985,3774,0,"1,000,000 .. 2,000,000",1324,399,679,140,1999,1999,0,,
25700,25700,Madballs in Babo:Invasion ,Playbrains,Playbrains,,196,38,0,"50,000 .. 100,000",631,0,286,0,499,499,0,,
764050,764050,Maelstrom,"Gunpowder Games, LLC","Gunpowder Games, LLC",,640,101,0,"20,000 .. 50,000",484,0,259,0,1999,1999,0,,
40990,40990,Mafia,Illusion Softworks,2K,,1647,172,0,"200,000 .. 500,000",378,8,163,10,1499,1499,0,,
50130,50130,Mafia II,"2K Czech, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",,31082,1821,0,"2,000,000 .. 5,000,000",1212,243,755,130,2999,2999,0,,
unknow,unknow,Magic 2014 ,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Magic 2015,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
335150,335150,Magic Barrage - Bitferno,Gameguyz,Gameguyz,,230,436,0,"200,000 .. 500,000",100,0,10,0,0,0,0,,
316010,316010,Magic Duels,Stainless Games Ltd.,Wizards of the Coast LLC,,16591,6883,0,"2,000,000 .. 5,000,000",837,234,97,87,0,0,0,,
unknow,unknow,Magic The Gathering  Tactics,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Magic The Gathering - Duels of the Planeswalkers,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
49470,49470,Magic: The Gathering - Duels of the Planeswalkers 2012,Stainless Games Ltd,Wizards of the Coast LLC,,702,95,0,"200,000 .. 500,000",1477,0,747,0,1999,1999,0,,
97330,97330,Magic: The Gathering - Duels of the Planeswalkers 2013,Stainless Games,Wizards of the Coast LLC,,920,129,0,"200,000 .. 500,000",1518,0,655,0,999,999,0,,
292480,292480,Magical Battle Festa,Fly System,AGM PLAYISM,,219,108,0,"50,000 .. 100,000",129,0,96,0,999,999,0,,
unknow,unknow,Magical Diary,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
268750,268750,Magicite,SmashGames,SmashGames,,5472,914,0,"200,000 .. 500,000",798,99,403,160,499,999,50,,
42910,42910,Magicka,Arrowhead Game Studios,Paradox Interactive,,20850,1908,0,"2,000,000 .. 5,000,000",625,81,306,101,999,999,0,,
238370,238370,Magicka 2,Pieces Interactive,Paradox Interactive,,4788,1364,0,"1,000,000 .. 2,000,000",317,118,220,91,1499,1499,0,,
unknow,unknow,Magicka Wizard Wars,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Magicka Wizards of the Square Tablet,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
296510,296510,Magnetic By Nature,Team Tripleslash,Team Tripleslash,,53,21,0,"0 .. 20,000",108,0,88,0,999,999,0,,
320400,320400,Magnifico,Mixel,Slitherine Ltd. ,,64,46,0,"50,000 .. 100,000",124,92,108,144,499,499,0,,
209630,209630,Magrunner: Dark Pulse,Frogwares,Frogwares,,250,49,0,"20,000 .. 50,000",311,0,213,0,999,999,0,,
252250,252250,Maia,Simon Roth,Machine Studios,,463,457,0,"20,000 .. 50,000",416,0,97,0,2499,2499,0,,
366800,366800,Mainland,"Vasily Voronkov, Ryan Joseph, Peter Kosyh",INSTEAD Community,,190,36,0,"100,000 .. 200,000",23,0,5,0,0,0,0,,
25980,25980,Majesty 2,1C:InoCo,Paradox Interactive,,302,127,0,"100,000 .. 200,000",657,378,298,378,249,999,75,,
73020,73020,Majesty 2 Collection,1C:InoCo,Paradox Interactive,,595,235,0,"200,000 .. 500,000",495,103,166,103,0,0,0,,
unknow,unknow,Majesty Gold Edition,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
25990,25990,Majesty Gold HD,Cyberlore,Paradox Interactive,,321,21,0,"100,000 .. 200,000",206,10,45,19,999,999,0,,
264340,264340,Major Mayhem,Rocket Jump,Rocket Jump,,216,42,0,"20,000 .. 50,000",241,0,95,0,499,499,0,,
358300,358300,Major Stryker,3D Realms (Apogee Software),3D Realms (Apogee Software),,12,5,0,"50,000 .. 100,000",14,0,25,0,299,299,0,,
357900,357900,Make it indie!,Sometimes You,Sometimes You,,542,653,0,"200,000 .. 500,000",221,0,211,0,99,99,0,,
46770,46770,Making History II: The War of the World,Muzzy Lane Software,Factus Games,,196,57,0,"20,000 .. 50,000",634,0,225,0,1499,1499,0,,
6250,6250,Making History: The Calm & the Storm,Muzzy Lane,Strategy First,,463,107,0,"50,000 .. 100,000",546,0,86,0,499,499,0,,
279140,279140,Making History: The Great War,"Muzzy Lane Software, Factus Games",Factus Games,,259,89,0,"20,000 .. 50,000",279,0,310,0,2999,2999,0,,
12130,12130,Manhunt,Rockstar North,Rockstar Games,,808,427,0,"200,000 .. 500,000",137,36,30,69,999,999,0,,
302250,302250,Manhunter,Silden,KISS ltd,,228,512,0,"50,000 .. 100,000",82,0,25,0,499,499,0,,
342280,342280,Manyland,Anyland + Manyland,,,115,18,0,"0 .. 20,000",426,6,390,6,1199,1199,0,,
216150,216150,MapleStory,Nexon,Nexon America Inc.,,3625,1704,0,"1,000,000 .. 2,000,000",2997,1492,75,635,0,0,0,,
