|,|__appid,|__name,|__developer,|__publisher,|__score_rank,|__positive,|__negative,|__userscore,|__owners,|__average_forever,|__average_2weeks,|__median_forever,|__median_2weeks,|__price,|__initialprice,|__discount,,
315340,315340,A.R.E.S. Extinction Agenda EX,Extend Studio,ORiGO GAMES,,131,38,0,"0 .. 20,000",233,0,177,0,999,999,0,,
unknow,unknow,A.V.A - Alliance of Valiant Arms,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
15520,15520,AaAaAA!!! - A Reckless Disregard for Gravity,"Dejobaan Games, LLC","Dejobaan Games, LLC",,545,102,0,"100,000 .. 200,000",96,0,34,0,999,999,0,,
15560,15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,"Dejobaan Games, LLC, Owlchemy Labs","Dejobaan Games, LLC",,746,250,0,"200,000 .. 500,000",90,0,23,0,999,999,0,,
222640,222640,Aarklash: Legacy,Cyanide Studio,Bigben Interactive,,476,145,0,"50,000 .. 100,000",296,0,174,0,1599,1599,0,,
397970,397970,Abandoned: Chestnut Lodge Asylum,Lazy Turtle Games,"Tri Synergy, Inc.",,16,6,0,"0 .. 20,000",0,0,0,0,699,699,0,,
299580,299580,Abducted,Sunside Inc,Sunside Inc,,37,17,0,"0 .. 20,000",15,0,29,0,1499,1499,0,,
354200,354200,Aberoth,"Jarbit, Castle art by Yuriy Gusev",Jarbit,,746,478,0,"200,000 .. 500,000",420,11,13,11,0,0,0,,
277680,277680,"About Love, Hate and the other ones",Black Pants Studio,Black Pants Studio,,550,62,0,"50,000 .. 100,000",169,0,113,0,699,699,0,,
unknow,unknow,Absconding Zatwor,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
398450,398450,Absent,FNGames,FNGames,,198,48,0,"50,000 .. 100,000",75,0,31,0,0,0,0,,
320140,320140,Absolute Drift,"Funselektor Labs Inc., FlippFly",Funselektor Labs Inc.,,1666,226,0,"100,000 .. 200,000",206,0,126,0,1199,1199,0,,
255070,255070,Abyss Odyssey,ACE Team,ATLUS USA,,1348,816,0,"200,000 .. 500,000",281,0,208,0,1499,1499,0,,
